Narrative,summary
unit1 was traveling south in the area of 300 s. bridge ave. unit 2 was at a stop sign in the area of 800 e. railroad rd and was proceeding to turn north onto 300 s. bridge street.  unit 1 passed in a no passing zone and struck unit 2.  unit 1 had damage to the front right bumper and unit 2 had damage to the front left bumper.,"Unit 1 failed to obey a no passing zone, causing it to pass Unit 2 on the wrong side of the road, resulting in a collision between the two vehicles. The failure was due to Unit 1's driver disregarding traffic control devices and failing to exercise caution when approaching the restricted area."
unit 2 was traveling east at the 500 block of e. ih-2(frontage rd.). unit 1 was exiting the parking lot of 502 e. ih-2. unit 1 failed to yield the right of way from a private drive causing unit 2 to collide with unit 1.,"Unit 1 failed to yield the right of way, specifically from a private drive, allowing Unit 2 to collide with it. This failure occurred because Unit 1 did not properly observe and respect the traffic laws governing intersections and pedestrian/driveway crossings."
unit 2 was traveling w in the left-center lane of wb 5900 fairmont pkwy in congested traffic. unit 1 was traveling w directly behind unit 2. unit 2 had to stop for traffic that was stopping abruptly. unit 1 had been following too closely and struck unit 2 from behind. driver unit 1 exchanged the required information and left prior to police arrival. approx aoi was 320' w of the w curb of 3900 snodden dr and 16' n of the s curb of wb 5900 fairmont pkwy.,"Unit 1 failed to maintain a safe following distance, resulting in a rear-end collision with Unit 2 due to its inability to stop in time. This failure occurred because Unit 1 was traveling too closely behind Unit 2."
"unit 3 was stopped in traffic at the 1300 block of vo tech drive facing south. unit 2 was traveling north in the same area preparing to turn left onto joe stephens avenue. unit 1 was also traveling north in the same area behind unit 2. the driver of unit 1 failed to control their speed and struck the back end unit 2 causing back end distributive impact damage. unit 1 sustained front end distributive impact damage. due to the force of the impact, unit 2 was pushed forward, striking unit 3, causing back left quarter angular impact damage. unit 2 also sustained front left end partial contact damage.","The driver of Unit 1 failed to control their speed, resulting in a collision with Unit 2's rear end due to excessive speed. The loss of control was the root cause of the crash."
unit 2 was stationary at the red light facing west at the 3300 block of e. pike blvd. unit 1 was traveling west at approaching the light behind unit 2. unit 1 failed to control speed and struck unit 2 on the back end. unit 1 sustained damage to the front end. unit 1 driver stated his rug got caught underneath the brake pedal preventing him from effectively braking.,"Unit 1's failure to control speed was caused by its driver's inability to effectively brake due to a rug obstructing the brake pedal, resulting in a collision with Unit 2. The root cause of the crash was the driver's distraction or lack of attention to their surroundings, allowing the rug to become trapped under the pedal."
unit 2 was parked in a parking spot unoccupied facing north. unit 2 was struck on the back left quarter by unit 1. unit 1 left the scene of the accident.,"Unit 1 failed to yield and maintain control, striking the rear of Unit 2 while attempting to leave the parking area. The failure occurred due to a lack of attention or awareness on the part of the driver of Unit 1."
"unit 2 was traveling southbound on 2900-blk beltway 8 frontage rd in lane 2 with a green light. unit 1 was traveling westbound on 5500 blk-spencer hwy in lane 3 with a red light. unit 1 ran the red light and was struck by unit 2.approximate aoi is lat 29.665, long -95.15",Unit 1 failed to obey a traffic control device (red light) due to driver error or inattention. The failure to obey the red light led to a collision with Unit 2.
unit#1 was parked north in a parking slot directly behind a truck tractor in the dps parking lot.  unit #1 driver exited his patrol unit and approached the truck tractor. unit #1's driver did not have it in the park position and as a result unit #1 began to roll backwards south striking a dirt embankment and a brick fence post with its back left.,"The root cause of the crash was that Unit #1's driver failed to engage the parking brake, allowing the vehicle to roll backwards. This failure occurred because the driver did not follow proper procedures for securing the vehicle when exiting."
"unit 2 was at the intersection of 6th st and bridge ave in the left turn lane only. unit 1 was to the right of unit 2 facing northbound in the straight/right turn only. unit 2 proceeded forward to make a left hand turn, when she was hit by unit 1 at the right front quarter angular impact. unit 1 left the scene of an accident without providing any information.","Unit 1 failed to yield to Unit 2's left turn, resulting in a collision due to Unit 1's failure to comply with traffic laws and regulations. The root cause was Unit 1's reckless behavior, leaving the scene without taking responsibility for their actions."
unit 2 was traveling southbound crossing the intersection of south international boulevard and east business 83. unit 1 was traveling westbound onto the intersection of south international boulevard and east business 83. unit 1 disregarded the stop and go signal and caused unit 2 to strike unit 1 on the right side. unit 2 received front end distributed damage.driver for unit 2 stated that there was a vehicle on his left side that blocked his view of oncoming unit 1.,"Unit 1 failed to obey a stop and go signal, causing Unit 2 to strike it from the right. This failure occurred because Unit 1's driver disregarded the traffic control device."
"unit 1 was traveling west bound in the 2000 block of s 1st st. and was attempted to turn left (south bound) onto the 100 block of s sayles blvd. unit 2 was travelling e bound in the outside lane of the 2100 block of s 1st st. both east and west bound lanes had green lights at the time of the collision. unit 1 failed to yield right of way to unit 2. the front passenger side of unit 1's front pumper impacted the center of unit 2's front bumper.poi: 8ft n of the s curb line of s 1st st., 47ft e of the w curb line of sayles blvd.","Unit 1 failed to yield right-of-way to Unit 2, colliding with Unit 2's front bumper due to a failure to comply with traffic signals. The root cause is Unit 1's inattention to traffic rules and signals."
"unit one was stopped in the middle lane, nb in the 1300-blk of strawberry rd. unit two was traveling nb in the 1300-blk of strawberry rd, left turn lane. unit one made an unsafe lane change to the left turn lane, colliding with unit two.â see gps coordinates for approximate poi.","Unit one made an unsafe lane change into the left turn lane, colliding with unit two due to a failure of unit one's driver to properly assess and execute a safe lane change maneuver. The root cause was unit one's driver error in judgment and execution."
unit 1 was towing unit 2 and exiting a private dr along the ncl of the 3000 block of the pasadena fwy wb frontage rd. as unit 1 was making the turn and entering the frontage rd the weight of theâ cargo on the trailer caused theâ trailer and the cargo to tip over. the shift in weight caused damage to unit 1 and unit 2 both were rendered inoperable.the aoi was approximately 10 ft s of the ncl of the 3000 block of the pasadena fwy wb frontage rd and approx. a .25 of a mile e of the ecl of the 100 block of preston rd.,"The trailer's cargo shifted due to its weight, causing the trailer to tip over and damage both units. The tipping occurred because the trailer was not properly secured or balanced for towing."
"unit one was waiting to exit a private drive on the north side of the 7700-blk of spencer hwy, wanting to turn left. unit two was wb in the 7700-blk of spencer hwy, lane two. unit one failed to yield the right of way from a private drive, exiting the drive causing unit two to collide with unit one. unit two did attempt to swerve to the left just prior to impact. note, a local business had video footage of the incident. this officer observed the video however the business stated they did not want me to record it.â see gps coordinates for approximate poi.","Unit one failed to yield the right of way from a private drive, colliding with unit two traveling in the adjacent lane. The failure to yield was likely due to unit one's attempt to turn left onto Spencer Hwy without properly checking for oncoming traffic."
unit 1 was exiting the parking lot of circle k when unit 2 entered the parking lot turning directly in front of unit 1 striking the front left of unit 1 with the front left of unit 2.,"Unit 2 failed to yield or properly observe traffic conditions, resulting in a collision with Unit 1. The root cause was Unit 2's failure to check for oncoming traffic before entering the parking lot directly in front of Unit 1."
"unit 3 was traveling north bound in the area of 1100 n. texas blvd.  unit 1 was traveling north bound behind unit 3 and in front of unit 2.  unit 2 was traveling north bound behind unit 1.  unit 3 started to slow down for high traffic, unit 1 who was behind unit 3 failed to control speed and struck unit 3 in the back center of unit 1.  driver of unit 2 also failed to control speed striking unit 1 in the back bumper.  unit 1 had damage to the front bumper and rear bumper.  unit 2 had damage to front bumper and unit 3 had very little damage back bumper.","Unit 1 failed to control its speed, causing it to strike Unit 3 from behind, due to inattention or distraction while following too closely behind Unit 3. Unit 2 also failed to control its speed, striking Unit 1 from behind, likely due to the same reason of following too closely behind Unit 1."
unit 2 was traveling north bound on ih 35 in lane number 2. unit 1 was entering the highway from the access road on ramp. unit 1 merged into unit 2 causing the collision. unit 1 was drive able. unit 2 had tire damage and required a tow by a city contracted wrecker. information was exchanged. no injuries were reported.,"The root cause of the crash was Unit 1's failure to properly merge onto IH-35, resulting in a collision with Unit 2. This happened because Unit 1 did not adequately assess the traffic conditions and failed to yield to oncoming traffic in lane number 2."
unit 1 was traveling east at the 1100 block of west ih2. unit 1 had a tire blow out causing the driver to lose control of the vehicle. the vehicle then struck the concrete barrier with the front left end causing angular impact damage. the vehicle continued to spin and then sustained back end distributive impact damage.,"A tire blowout caused the loss of control, resulting from a failure in the tire's structural integrity likely due to underinflation or other maintenance-related issue."
"unit 2 was stopped due to traffic in the 10600 block of mchard rd in the center lane facing west bound. unit 1 was behind unit 2, when unit 1 driver attempted to merge into the left turn lane due to her stating she thought she had enough clearance to make the lane change. unit 1 driver did not have enough clearance and when she made the lane change, she struck unit 2 on the rear driver side fender. due to unit 1 making an unsafe lane change, she struck unit 2 and caused damages to both vehicles.","Unit 1's driver failed to assess sufficient clearance for a safe lane change into the left turn lane, resulting in a collision with Unit 2 on its rear driver side fender. The failure was due to an incorrect assumption by the driver that she had enough clearance to make the lane change."
"unit 2 was stopped in the right lane of nb 4000 burke road for a red traffic signal at 4100 fairmont pkwy. unit 1 was stopped facing nw directly behind unit 2. the signal turned green and unit 2 began to travel forward. unit 1 then accelerated as well, but struck unit 2 from behind. approx aoi was 20' s of the s curb of 4100 fairmont pkwy eb and 6' w of the e curb of 4000 burke road nb. *driver unit 1 was not listed as an insured driver on unit 1 policy.","Unit 1 accelerated from a stopped position behind Unit 2, striking it from behind after the traffic signal turned green. The root cause is likely that the driver of Unit 1 failed to maintain a safe following distance or did not properly assess the situation before accelerating."
unit 2 was stopped in the right lane of sb 5300 space center waiting for traffic at a red signal just north of 3700 genoa red bluff. unit 1 was traveling s in the right lane of space center directly behind unit 2. driver unit 1 was distracted by looking for cash inside of unit 1. unit 1 failed to control speed and struck unit 2 from behind. approx aoi was 45' n of the n curb of genoa red bluff and 6' e of the w curb of sb space center.,"The driver of unit 1 failed to control speed due to distraction, striking unit 2 from behind at a stoplight. The root cause was the driver's inattention while searching for cash inside the vehicle."
"unit 1 was traveling westbound on ih-20 in the right lane. unit 2 was towing unit 3 and traveling westbound behind unit 1. unit 4 was towing unit 5 and traveling westbound in the left lane. the driver of unit 4/5 failed to drive in a single lane and crossed the lane divider. unit 1 was sideswiped at which time the driver may have took faulty evasive action, swerving and applying the brake. the driver of unit 2/3 braked heavily but was unable to avoid striking unit 1 in the rear with its front distributed. the driver of unit 1 mentioned the vehicle possibly has anti-collision features that engage the brakes and steer the wheel away from impact. the driver of unit 1 was able to pull onto the shoulder and come to a stop upright facing westbound. unit 2/3 came to a stop upright facing westbound in the right lane. the driver of unit 4/5 continued westbound and remains unidentified.  the driver of unit 2/3 stated only he recalled it was a white truck tractor with white box semi trailer.","The root cause of the crash was the failure of Unit 4/5's driver to maintain control of their vehicle, crossing the lane divider and causing a chain reaction. The subsequent faulty evasive action by Unit 1's driver likely exacerbated the situation, leading to the rear-end collision with Unit 2/3."
"unit 2 was at the intersection of fm 1015 and 18th st facing southbound. unit 1 was driving northbound by 1700 s fm 1015. unit 1 failed to control speed, lost control as she went over the curb, and hit unit 2 at the left front quarter angular impact. unit 1 had damage to the front end distributed impact. unit 1 driver was under the influence of alcohol at the time of the crash.","The root cause of the crash was Unit 1's failure to control speed, which led to loss of control and collision with Unit 2 due to intoxication by alcohol. The critical factor that failed was Unit 1's ability to maintain a safe speed while driving under the influence."
unit 1 exited westbound from the private drive to turn southbound on mahard parkway.  unit 2 was traveling southbound on mahard parkway.  unit 1 failed to yield right of way-private drive and collided with unit 2.,"Unit 1 failed to yield right of way, colliding with Unit 2 because Unit 1 exited the private drive without properly yielding to traffic on Mahard Parkway. The failure was due to a lack of attention or awareness by the driver of Unit 1."
unit 1 was traveling east at the 100 block of ih-2 (frontage rd) approaching the intersection of n. texas blvd. and e. ih-2 (frontage rd). unit 1 entered the intersection at a yellow light to travel north on texas blvd. unit 1 said unit 2 collided with him in the intersection.unit 2 was traveling south on n. texas blvd. approaching the same intersection. unit 2 entered the intersection at a green light to travel south on texas blvd. unit 2 said unit 1 collided with her in the intersection.,"Unit 1 and Unit 2 failed to yield to each other, resulting in a collision due to conflicting traffic signals (yellow for Unit 1 and green for Unit 2). The failure was caused by Unit 1's decision to enter the intersection on a yellow light without ensuring it was safe to do so."
"unit 1 and unit 2 were traveling northbound in the 12300 block of s ih 45 n, unit 1 was traveling in lane 1 and unit 2 was traveling in the hov lane. unit 1 changed lanes into the hov lane causing unit 2 to make an evasive movement to avoid a collision with unit 1. unit 2 then sped past unit 1 on the inside shoulder. unit 1 to then tried to speed past unit 2 in the same manner. as unit 1 tried to speed past unit 2, unit 1 and unit 2 collided rd to ld.  both drivers made conflicting statements saying the other driver moved over causing the collision. unable to determine at fault unit.","Unit 1 failed to yield when changing lanes into the HOV lane, causing Unit 2 to make an evasive maneuver and resulting in a collision between the two vehicles on the inside shoulder. The failure to yield was likely due to Unit 1's attempt to merge into the HOV lane without proper clearance or consideration for other traffic."
upon arrival on scene u1 was no longer on scene. u2 stated he was stopped at the intersection when the light turned green facing wb on fm 1346. u2 stated he proceeded to go when out of nowhere he was struck and spun out facing south on se loop 410. u2 stated he was not sure from where it came from and was not aware of the other vehicle. u2 stated he could not remember anything. a third party stated that u1 was in bad shape. officer j. martinez #405 then located u1 down the road. u1 was unoccupied.  u1 appeared to have a steering column that was tampered with. the registered owner lived out of jurisdiction in bexar county. bexar county sheriffs made the location and made contact with the registered owner of u1. the registered owner stated she had not given anybody permission to use her vehicle and her vehicle was supposed to be in her driveway at the time we made contact. bexar county sheriffs initiated a theft of vehicle report for her. the driver of u1 is unknown. u2 was given a case number and a courtesy ride to nearby family.bwc/coban available,"The root cause of the crash was the unauthorized use of a stolen vehicle (U1) by an unknown individual, who tampered with the steering column. The driver's identity is still unknown due to U2's loss of memory and lack of awareness of the other vehicle involved."
u1 was traveling on ih 35 n sb on lane 1. u1 stated he spotted a dog on the roadway and swerved to try and avoid hitting the dog. u1 stated he hit the median and then spun out ending up facing the wrong way. u1 was towed and had no injuries. no signs of intoxication. bwc/coban available,"The driver failed to maintain control of their vehicle while attempting to avoid a dog on the roadway, resulting in loss of traction and spinout into the median. The root cause is likely driver distraction or reaction time error due to spotting an unexpected obstacle on the road."
"unit 1 and unit 2 were traveling wb at 600 w belknap st. unit 1 was in lane 2 and unit 2 was in lane 1.unit 1 said there were cars parked along the left curb line preventing him from driving in lane 1. unit 1 signaled a left turn onto 100 n cherry st. as unit 1 made his turn from lane 2, he collided with unit 2 who was continuing wb in lane 1. the left front fender and wheel studs came into contact with the right side of unit 2. unit 1 said he was partially in lane 1 as he made his turn.unit 1 felt that unit 2 should have seen that he was turning and slowed down or stopped to avoid the collision.unit 1 was cited for the above listed violation.","Unit 1 failed to maintain a safe distance from Unit 2 in lane 1, as he partially entered the lane while making a left turn without ensuring it was clear. This failure occurred because Unit 1 did not adjust his speed or position to account for the parked cars along the curb line that prevented him from fully entering lane 1."
"u1, u2, u3, and u4 were e/b in the 300 blk of e main st.â  u4 was in front of u1.â  u1 was in front of u2.â  u2 was in front of u3.â  all units were in the left lane.d1 stated as he was driving, u4 suddenly stopped in front of him and he was unable to stop and rear ended u4.â  after the crash, u2 rear ended u1 (aoi 1).â â d2 stated he was driving and observed u1 rear end u4 but did not see brake lights until right before the crash.â  d2 stated he could not stop in time and rear ended u1 (aoi 2).â â d3 stated he was driving and observed u2 rear end u1.â  d3 attempted to brake in conjunction with u3's automatic brakes but u3 did not stop in time and rear ended u2 (aoi 3).â â d4 stated traffic was stop and go and she was braking for traffic ahead of her and she was rear ended by u1 (aoi 1).aoi 1, aoi 2, aoi 3 were determined by damage to vehicles and drivers' statements.officer's investigation revealed d1, d2, and d3 at fault for fail to control speed.â â ","The root cause of the crash was u4's sudden stop in front of u1 without adequate warning, which caused a chain reaction of rear-end collisions among the other units. The failure that led to this outcome was the lack of timely application of brakes by u4, which was likely due to inadequate situational awareness or distraction while driving."
on a san antonio isd  private property the operator of unit one was reversing and hit parked unit two. unit one operator stated that there was a van blocking his sight. at my arrival i saw now van in the yard. unit one operator would move the vehicle and park it rear facing the i-10 frontage rd.,"The root cause of the crash was the driver's failure to maintain situational awareness, specifically failing to notice that a parked vehicle obstructed their view while reversing. The van blocking the driver's sightline likely caused them to misjudge the distance and position of Unit 2."
"unit 1 was traveling eastbound on 3900-blk red bluff rd in lane 2. unit 2 was traveling eastbound on 3900-blk red bluff rd in lane 3. unit 1 made a unsafe lane change to lane 3 and struck unit 2.approximate aoi is lat 29.681, long -95.15","Unit 1 failed to maintain its position in lane 2 due to an unsafe lane change, resulting in a collision with Unit 2 in the adjacent lane. The driver of Unit 1 made an unsafe lane change likely due to a lapse in attention or judgment."
unit 1 was traveling northbound 3900-blk yuma trail in lane 1 with a yield sign. unit 2 was traveling westbound 4800-blk fairmont pkwy in lane 3. unit 1 failed to yield the right of way of the intersection. unit 2 struck unit 1 in the passengers front quarterpanel causing unit 1 to loose control and run into the whataburger sign with a second impact on the front of unit 1.maria gonzalez (11/27/1961) the passenger in unit 2 was taken to hca southwest 4000 spencer hwy by acadian 981.approximate aoi is lat 29.649 long -95.169,"Unit 1 failed to yield the right of way at an intersection, colliding with Unit 2 in lane 3. The failure to yield was likely due to Unit 1's inattention or failure to observe the traffic signals and signs controlling the intersection."
unit 1 was traveling north on n. westgate dr. approaching the intersection of n. westgate dr. and w. sugarcane rd. unit 2 was stopped at the same intersection. unit 2 was on sugarcane rd. facing west.unit 1 ran the red light causing unit 2 to collide with unit 1.,"Unit 1's failure to obey a traffic signal (running the red light) led to a collision with Unit 2, which was stationary at the intersection. This failure occurred due to a lack of attention or awareness by the driver of Unit 1."
"the owner of unit 2 stated unit 1 crashed into unit 2 while unit 1 was parked at above listed crash address. the owner of unit 2 stated someone left her a note stating they witnessed unit 1 crash into unit 2 at 0946 hours. the note also stated that there was no one driving the vehicle when it moved on its own. according to note, unit 1 is a black tesla. the note also provided the tesla license plate and when ran through cad, the return came back to be a tesla. unit 2 also had black paint transfer. witness left their contact information. i attempted to contact them but there was no answer. i provided the owner of unit 2 with case number and instructions on how to acquire crash report. body worn camera/coban available.","The Tesla (unit 1) moved on its own without a driver, causing it to crash into unit 2. The likely root cause is a malfunction or failure of the vehicle's autonomous driving system."
unit 1 was traveling southbound in the right lane on the 7300 block of n macarthur blvd behind unit 2 who was traveling also in the right lane in front of unit 1.  unit 1 was driver inattention due to her child distracting her inside her vehicle contributing to unit 1 failing to control speed and rearending unit 2.  unit 2 had back rear distributed impact. unit 1 had front end distributed impact.,"The root cause of the crash was the driver's inattention due to a child distracting her, which caused her to fail to maintain control of speed and collide with the vehicle ahead. The primary failure was the driver's inability to focus on driving, resulting in a loss of situational awareness."
"unit 2 was traveling northbound 4000-blk young st in lane 2 with a solid green light. unit 1 was traveling westbound 1000-blk fairmont pkwy in the lane 2 with a red light. unit 1 ran the red light and struck unit 2 in the rfq caused unit 2s, rbq swung around and caused a second impact on unit 1 driver side front and rear door.approximate aoi is lat 29.662 long -95.194witness information:elliott, frank","Unit 1 failed to obey the red light due to a lapse in attention or judgment, resulting in a collision with Unit 2. The failure to stop at the red light was the root cause of the crash."
"unit 1 was traveling westbound on 5500-blk fairmont pkwy in u turn lane . unit 2 was traveling westbound on 5500-blk fairmont pkwy in u turn lane. unit 1 followed to close to unit 2 and struck unit 2 in the rear.approximate aoi is lat 29.650, long -95.15","Unit 1 failed to maintain a safe following distance from Unit 2, resulting in a rear-end collision due to excessive proximity between the two vehicles. This failure was likely caused by Unit 1's driver being too close to Unit 2, compromising their ability to stop or react in time."
"unit 2 was driving eastbound by 100 e ih-2, in the middle lane. unit 1 failed to control speed and hit unit 2 at the back end distributor impact. unit 1 swerved to its left, and hit unit 2 again at the left side angular impact. unit 1 had unknown damage and left the scene of an accident without providing any personal information.","Unit 1 failed to control speed, resulting in a rear-end collision with Unit 2 due to excessive velocity. The root cause is likely Unit 1's inability to maintain a safe speed for road conditions."
"unit 1 was towing unit 2. unit 3 was towing unit 4. unit 3 and 4 were traveling north at about the 1400 block of north westgate drive, making a left hand turn to travel west on frontage road. unit 1 and 2 were travelling north in the lane next to unit 3 and 4. unit 1 entered the intersection but did not turn left causing unit 4 left back quarter to hit unit 1 in the right front quarter.","Unit 1 failed to execute a timely left-hand turn, resulting in a collision with Unit 4's rear quarter panel. This failure was likely due to Unit 1's driver misjudging or not yielding to the turning traffic of Units 3 and 4."
unit 2 was stationary in the parking lot of stripes 725 south texas blvd. unit 1 was parked inside of a parking space of stripes 725 south texas blvd. unit 1 backed without safety and struck unit 2 on the right side. unit 1 then fled the scene.unit 3 advised that they were struck and stuck between unit 1 and unit 2. unit 3 were seen by ems but denied transport to a hospital.,"Unit 1 backed without safety, striking Unit 2 on the right side, due to a failure of its driver to exercise proper caution when reversing. The incident was exacerbated by Unit 1's subsequent decision to flee the scene."
unit 2 was traveling south on oklahoma avenue and came to a stop at the intersection of west 6th street and oklahoma avenue. unit 1 was traveling east on west 6th street and came to a stop at the same intersection. both drivers stated they came to a complete stop and struck one another. unit 1 sustained left front quarter angular impact damage. unit 2 sustained front right end partial contact damage.,"Both vehicles failed to maintain control while stopped, resulting in a collision due to inadequate driver attention or reaction time. The drivers' failure to ensure their vehicles were fully stopped before proceeding led to the crash."
unit 2 was traveling west at the intersection of east ballard street and fm-88. unit 1 was traveling north in the same area. unit 1 disregarded the stop and go signal at the intersection. unit 2 sustained front end distributed impact damage. unit 1 sustained right side angular impact damage.,"Unit 1 failed to obey a traffic control device, specifically the stop and go signal, which caused it to collide with Unit 2. The failure to obey the signal was likely due to driver inattention or distraction."
"unit 2 was stationary facing north in the parking lot of the peter piper pizza located at 3101 east expressway 83, weslaco. unit 1 was facing south in the same parking lot traveling north in reverse. unit 1 backed without safety and hit unit 2. unit 1 had damage to the back end right. unit 2 had damage to the back end left.","Unit 1 failed to use its backup safety features, resulting in a collision with Unit 2 while reversing. This failure occurred because Unit 1's driver did not follow proper procedures for backing up."
"unit 2 was stationary facing east in the parking lot located at 2017 w expy. 83, weslaco. unit 1 was facing west in the same parking lot traveling east in reverse. unit 1 backed without safety and hit unit 2. unit 1 had damage to the back end right. unit 2 had damage to the right back quarter from an angular impact.","Unit 1 failed to use its backup safety features, resulting in a collision with Unit 2 while reversing. The failure occurred because Unit 1's driver did not properly engage or utilize the vehicle's backup safety features."
unit 1 was traveling east in the area of 100 w. interstate highway 2 frontage road.  unit 2 was traveling east in the area of 100 w. interstate highway 2 in front of unit 1.  unit 1 failed to control speed striking unit 2 back center with unit 1 front center.  very minor damage to both vehicles.,"Unit 1 failed to control its speed, resulting in a collision with Unit 2 due to excessive velocity. The root cause of the failure was likely an inability to maintain a safe speed for the road conditions and traffic situation."
unit 1 was stopped facing a stop sign at the intersection of e. mile 5 n. and s. texas blvd. unit 2 was traveling south approaching the intersection. unit 1 failed to yield the right of way at the stop sign causing him to collide with unit 2.,"Unit 1 failed to yield the right of way at a stop sign, colliding with Unit 2 due to a failure to comply with traffic control devices. The probable cause is Unit 1's inattention or failure to recognize and obey the stop sign."
"unit 1 stated he was in the median/intersection of the 14100 fry road. unit 1 stated he was attempting to cross fry rd. to enter the parking lot of the: lowe's 14128 cypress-rosehill rd. unit 1 stated lane 1 of the north bound traffic on fry rd. allowed him to pass through but the vehicle in lane 2, unit 2, proceeded straight and they ultimately collided. unit 2 stated she was north bound in lane 2 (far right lane) of the 14100 block of fry road. unit 2 stated she was waiting for the traffic to flow and the light to turn green. unit 2 stated as traffic was moving she proceeded and did not see unit 1 when they collided. officer's remarks: i arrived on location and found both vehicles to still be in the roadway, blocking traffic while still operable. both driver's informed me they did not need ems or medical attention, so i had them move to the nearby parking lot. i observed damage to the passenger front tire and lower bumper area of unit 1. unit 2 had front end damage to the front bumper and hood. after gathering all information i determined that unit 1 failed to yield right of way - from intersection. i then issued unit 1 a warning citation under hcso so-ww20300346 for failure to yield.","Unit 1, attempting to cross Fry Rd., failed to yield right of way and was struck by Unit 2, who was proceeding straight through the intersection after waiting for the light to turn green. This collision occurred because Unit 1 did not yield to oncoming traffic in the adjacent lane."
unit 1 was traveling eb on rigsby avenue. unit 2 was stopped at the light on rigsby avenue and loop 410 sb access road. unit 1 crashed into the back of unit 2.,"Unit 1 failed to maintain a safe following distance, resulting in a rear-end collision with Unit 2 after failing to stop in time due to inadequate reaction time or insufficient braking effort."
unit 1 stated he had his vehicle in full automation mode and was traveling northbound on the 7100 block of fairbanks north houston road. unit 2 & 3 advised he was traveling northbound on the 7100 block of fairbanks north houston road and was attempting to make left. unit 1 advised his vehicle didn't stop when unit 2 was making a left and struck unit 3 rear trailer.,"The root cause of the crash was that the vehicle's automated braking system failed to respond to the pedestrian (Unit 2) entering its path, allowing Unit 1 to strike Unit 3. The system failed because it did not detect or recognize the pedestrian as a hazard."
veh#2 stopped in a u-turn at 4400 west sam houston n and was hit from behind by veh #1 who failed to control speed.{{investigator's assignment: northwest}},"Veh #1 failed to control its speed, resulting in a rear-end collision with Veh #2, which was stationary at the time of impact. The failure to control speed indicates that Veh #1's driver exceeded an appropriate speed for the conditions."
"unit 2 was traveling sb on space center blvd at the 4400 block, in the #1 lane.â unit 1 was traveling sb on space center blvd at the 4400 block, in the #1 lane., directly behind unit 2. unit 2 slowed down in order to turn left onto the 6200 block of galefield dr. unit 1 was following too close and when unit 2 was in the process of slowing down, unit 1 crashed into unit 2.the aoi was approximately 20 ft e of the wcl of of the 4400 block of space center blvd and approx. 6 ft s of the ncl ofthe 6100 block of galefield dr.","Unit 1's failure to maintain a safe following distance caused it to collide with Unit 2, which was slowing down to turn left onto Galefield Dr. Unit 1's inability to stop in time due to excessive speed or inadequate braking resulted in the collision."
"â€‹unit two was slowing to make a right turn onto red bluff rd from spencer hwy wb. unit one was following unit two. unit one followed unit two too closely, colliding with them causing very minor damage.â see gps coordinates for approximate poi.","Unit One's failure to maintain a safe following distance caused the collision, resulting in minor damage due to Unit Two's slowing to make a right turn."
unit 1 was stopped at the intersection of east business 83 and south pleasantview drive facing east. unit 2 was stopped in the same area also facing east. unit 1 was stopped in lane 2 and unit 2 was stopped in the shoulder preparing to make a right turn. the driver of unit 1 stated he observed unit 2 already in the crosswalk and turned improperly by making a wide right turn and struck unit 2 causing left front quarter angular impact damage. unit 1 sustained right front quarter angular impact damage.,"Unit 1's driver failed to properly execute a right turn, striking Unit 2 in the crosswalk due to an improper turn radius. This was caused by Unit 1's driver turning too wide and losing control of their vehicle."
unit 2 was traveling south at the intersection of fm-88 and west sugarcane drive. unit 1 was traveling north in the same area. the driver to unit 1 failed to yield the right  of way by turning left. unit 1 sustained right back quarter angular impact damage. unit 2 sustained front right partial contact damage.,"The root cause of the crash was that Unit 1's driver failed to yield the right of way, specifically by turning left into oncoming traffic. The failure occurred because the driver did not properly assess or obey the traffic laws and signs at the intersection."
unit 2 was traveling eastbound on the 1600 block of east frontage road. unit 1 was traveling eastbound in the leftmost turning lane next to unit 2. unit 2 drove onto the intersection of frontage road and airport drive turning northbound. unit 1 failed to drive in a single lane and struck unit 2 on the left front quarter causing damage. unit 1 received damage on the front right.driver for unit 1 stated that they did not know it was a left turn only lane.,"Unit 1 failed to stay within its designated turning lane, resulting in a collision with Unit 2 due to driver error and lack of awareness about the specific traffic restrictions."
unit 2 was traveling wb in the wb lanes of 6900 fairmont pkwy. unit 1 was completing a eb to wb u-turn in the u-turn lane of 6900 fairmont pkwy. unit 1 disregarded a solid white line and changed lanes to the right when unsafe. unit 1 collided with unit 2. driver unit 1 claimed that unit 2 had been in her blindspot. approx aoi was 135' w of the w curb of manordale and 14' n of the s fog line of wb 6900 fairmont pkwy.,"Unit 1 failed to maintain a safe distance and changed lanes into the path of Unit 2, disregarding a solid white line. The failure occurred because Unit 1's driver chose to disregard the lane marking due to a perceived blind spot by Unit 2."
